Ticket_ID,Date_Ouverture,Date_Fermeture,Département,Catégorie,Sous_Catégorie,Priorité,Technicien,Canal,Temps_Resolution_h,SLA,Satisfaction,Jour_Semaine,Heure_Ouverture,Mois,SLA_Binaire
HD000039,2025-08-22 03:25:37.713958,2025-08-22 06:32:27.704937,Juridique,Messagerie,Outlook,Moyenne,TECH_08,Téléphone,3.11,Respecté,5,Friday,3,8,1
HD000040,2025-01-29 07:20:25.479315,2025-01-29 09:25:58.204364,Juridique,Matériel,Écran,Critique,TECH_02,Portail,2.09,Respecté,5,Wednesday,7,1,1
HD000041,2026-02-12 03:32:00.395509,2026-02-12 08:44:17.298823,Juridique,Logiciel,SAP,Faible,TECH_07,Téléphone,5.2,Respecté,4,Thursday,3,2,1
HD000042,2025-08-18 09:22:50.549564,2025-08-18 12:11:18.050090,Achats,Active Directory,Compte verrouillé,Moyenne,TECH_09,Email,2.81,Respecté,5,Monday,9,8,1
HD000043,2025-09-01 05:20:18.384166,2025-09-01 15:41:51.806050,Production,Réseau,WiFi,Faible,TECH_08,Téléphone,10.36,Dépassé,3,Monday,5,9,0
HD000044,2025-09-29 17:52:12.262718,2025-09-30 01:09:20.586982,RH,Matériel,PC,Faible,TECH_09,Téléphone,7.29,Respecté,4,Monday,17,9,1
HD000045,2025-03-17 12:29:30.703654,2025-03-17 15:53:17.543181,RH,Logiciel,Office,Faible,TECH_09,Téléphone,3.4,Respecté,5,Monday,12,3,1
HD000046,2025-02-24 22:14:10.217300,2025-02-25 13:10:13.644988,Finance,Sécurité,Antivirus,Moyenne,TECH_01,Email,14.93,Dépassé,3,Monday,22,2,0
HD000047,2025-11-21 18:24:27.951507,2025-11-21 22:25:15.237635,Direction,Messagerie,Outlook,Faible,TECH_05,Email,4.01,Respecté,5,Friday,18,11,1
HD000048,2025-07-31 02:29:11.864401,2025-07-31 05:35:10.609315,IT,Active Directory,Mot de passe,Faible,TECH_02,Portail,3.1,Respecté,4,Thursday,2,7,1
HD000049,2025-11-12 21:05:20.528269,2025-11-13 09:08:05.126492,IT,Sécurité,Phishing,Moyenne,TECH_01,Portail,12.05,Dépassé,2,Wednesday,21,11,0
HD000050,2026-05-06 02:16:01.491897,2026-05-06 05:08:32.905158,RH,Messagerie,Exchange,Faible,TECH_03,Email,2.88,Respecté,5,Wednesday,2,5,1
HD000051,2025-09-19 11:31:53.089637,2025-09-20 02:38:02.957524,Achats,Sécurité,Antivirus,Moyenne,TECH_03,Portail,15.1,Dépassé,2,Friday,11,9,0
HD000052,2026-05-28 04:40:52.072164,2026-05-28 08:06:52.648459,Production,Logiciel,ERP,Faible,TECH_06,Portail,3.43,Respecté,4,Thursday,4,5,1
HD000053,2026-04-18 10:39:30.128534,2026-04-18 14:56:41.564348,Direction,Logiciel,Office,Haute,TECH_10,Portail,4.29,Respecté,4,Saturday,10,4,1
HD000054,2025-03-23 13:19:35.489832,2025-03-23 18:46:53.201361,Finance,Logiciel,ERP,Moyenne,TECH_05,Téléphone,5.45,Respecté,5,Sunday,13,3,1
HD000055,2025-04-27 05:06:07.609625,2025-04-27 12:48:14.939832,RH,Réseau,DNS,Moyenne,TECH_09,Téléphone,7.7,Respecté,3,Sunday,5,4,1
HD000056,2025-02-12 19:55:31.248775,2025-02-13 09:13:29.139071,Achats,Sécurité,Phishing,Haute,TECH_08,Email,13.3,Dépassé,3,Wednesday,19,2,0
HD000057,2026-06-07 09:49:56.867812,2026-06-07 17:25:52.524874,RH,Messagerie,Outlook,Faible,TECH_03,Portail,7.6,Respecté,3,Sunday,9,6,1
HD000058,2025-04-13 09:10:56.351701,2025-04-13 14:40:59.900223,Achats,Messagerie,Exchange,Haute,TECH_02,Email,5.5,Respecté,4,Sunday,9,4,1
HD000059,2025-06-10 01:07:16.268379,2025-06-10 04:20:50.906149,Production,Active Directory,Mot de passe,Moyenne,TECH_08,Portail,3.23,Respecté,5,Tuesday,1,6,1
HD000060,2026-01-14 01:48:29.911343,2026-01-14 11:58:50.154958,Direction,Réseau,DNS,Faible,TECH_06,Email,10.17,Dépassé,3,Wednesday,1,1,0
HD000061,2025-06-26 02:47:26.898230,2025-06-26 08:08:25.695916,Finance,Logiciel,ERP,Faible,TECH_09,Email,5.35,Respecté,3,Thursday,2,6,1
HD000062,2025-01-16 19:47:36.655186,2025-01-17 00:01:41.884826,Achats,Réseau,VPN,Moyenne,TECH_02,Portail,4.23,Respecté,4,Thursday,19,1,1
HD000063,2025-06-13 03:01:28.191393,2025-06-13 11:16:06.961749,Direction,Sécurité,Antivirus,Moyenne,TECH_03,Email,8.24,Dépassé,3,Friday,3,6,0
HD000064,2026-05-18 17:45:44.951586,2026-05-18 21:43:33.105651,Production,Active Directory,Mot de passe,Moyenne,TECH_09,Téléphone,3.96,Respecté,4,Monday,17,5,1
HD000065,2026-06-16 21:37:08.373927,2026-06-17 00:53:01.358079,Finance,Messagerie,Exchange,Moyenne,TECH_08,Email,3.26,Respecté,4,Tuesday,21,6,1
HD000066,2025-06-05 17:20:35.021210,2025-06-05 19:27:12.769263,Direction,Active Directory,Compte verrouillé,Faible,TECH_10,Email,2.11,Respecté,4,Thursday,17,6,1
HD000067,2025-08-17 01:56:58.611641,2025-08-17 14:06:46.220825,Finance,Logiciel,ERP,Critique,TECH_09,Email,12.16,Dépassé,2,Sunday,1,8,0
HD000068,2025-10-07 14:55:08.716968,2025-10-07 23:58:15.944211,Production,Réseau,DNS,Moyenne,TECH_08,Portail,9.05,Dépassé,4,Tuesday,14,10,0
HD000069,2026-06-16 07:13:39.111566,2026-06-16 09:24:52.993642,IT,Logiciel,Office,Moyenne,TECH_04,Téléphone,2.19,Respecté,5,Tuesday,7,6,1
HD000070,2025-12-07 22:01:28.502340,2025-12-08 02:44:27.650367,Achats,Réseau,DNS,Moyenne,TECH_08,Email,4.72,Respecté,4,Sunday,22,12,1
HD000071,2026-04-08 18:42:42.017788,2026-04-08 23:27:48.264588,Direction,Matériel,Écran,Haute,TECH_07,Portail,4.75,Respecté,4,Wednesday,18,4,1
HD000072,2025-09-24 08:55:52.052639,2025-09-24 14:52:57.606052,Production,Matériel,PC,Critique,TECH_10,Email,5.95,Respecté,3,Wednesday,8,9,1
HD000073,2025-11-14 08:02:54.684665,2025-11-14 11:11:47.149006,Direction,Logiciel,Office,Haute,TECH_09,Email,3.15,Respecté,4,Friday,8,11,1
HD000074,2026-03-30 06:17:05.550530,2026-03-30 11:37:52.453196,Finance,Matériel,Écran,Moyenne,TECH_03,Portail,5.35,Respecté,4,Monday,6,3,1
HD000075,2025-09-05 04:06:54.186898,2025-09-05 09:34:37.053703,Finance,Messagerie,Outlook,Moyenne,TECH_04,Portail,5.46,Respecté,4,Friday,4,9,1
HD000076,2026-03-05 02:01:33.245167,2026-03-05 11:14:07.630158,Finance,Matériel,Écran,Critique,TECH_09,Téléphone,9.21,Dépassé,3,Thursday,2,3,0
HD000077,2025-02-01 05:03:38.939882,2025-02-01 11:48:20.559417,Achats,Logiciel,SAP,Haute,TECH_04,Email,6.74,Respecté,4,Saturday,5,2,1
HD000078,2025-08-13 10:57:35.089121,2025-08-13 14:26:56.650222,Production,Réseau,Switch,Moyenne,TECH_10,Portail,3.49,Respecté,4,Wednesday,10,8,1
HD000079,2025-11-27 12:58:45.816010,2025-11-27 18:35:17.849673,Juridique,Matériel,Écran,Haute,TECH_02,Téléphone,5.61,Respecté,4,Thursday,12,11,1
HD000080,2025-08-24 06:06:40.000109,2025-08-24 17:10:16.686791,IT,Réseau,WiFi,Haute,TECH_02,Téléphone,11.06,Dépassé,5,Sunday,6,8,0
HD000081,2025-03-01 11:14:54.671731,2025-03-01 15:34:45.844511,Production,Active Directory,Compte verrouillé,Moyenne,TECH_04,Téléphone,4.33,Respecté,5,Saturday,11,3,1
HD000082,2026-03-30 12:52:29.141264,2026-03-30 17:14:39.202702,RH,Logiciel,ERP,Moyenne,TECH_05,Email,4.37,Respecté,5,Monday,12,3,1
HD000083,2025-05-09 05:05:15.617110,2025-05-09 14:44:51.945402,Direction,Réseau,DNS,Faible,TECH_09,Téléphone,9.66,Dépassé,3,Friday,5,5,0
HD000084,2025-06-27 03:58:12.841426,2025-06-27 13:35:58.383106,IT,Messagerie,Exchange,Faible,TECH_04,Email,9.63,Dépassé,2,Friday,3,6,0
HD000085,2025-10-09 23:29:34.774358,2025-10-10 03:39:50.145359,Achats,Logiciel,SAP,Faible,TECH_07,Téléphone,4.17,Respecté,4,Thursday,23,10,1
HD000086,2025-09-26 00:32:34.935517,2025-09-26 04:35:57.026083,IT,Matériel,PC,Faible,TECH_09,Portail,4.06,Respecté,5,Friday,0,9,1
HD000087,2025-11-13 11:31:40.024088,2025-11-13 16:05:17.392596,Production,Active Directory,Mot de passe,Faible,TECH_10,Téléphone,4.56,Respecté,4,Thursday,11,11,1
HD000088,2025-10-09 17:30:37.383088,2025-10-09 19:46:48.063213,Finance,Active Directory,Compte verrouillé,Faible,TECH_06,Email,2.27,Respecté,5,Thursday,17,10,1
HD000089,2025-12-21 13:48:36.475351,2025-12-21 23:35:17.534244,Achats,Logiciel,SAP,Faible,TECH_01,Portail,9.78,Dépassé,4,Sunday,13,12,0
HD000090,2025-04-11 06:58:24.199408,2025-04-11 07:55:23.172784,Direction,Messagerie,Outlook,Moyenne,TECH_07,Email,0.95,Respecté,5,Friday,6,4,1
HD000091,2025-04-19 03:26:35.194726,2025-04-19 07:33:14.803767,Finance,Messagerie,Exchange,Moyenne,TECH_07,Portail,4.11,Respecté,3,Saturday,3,4,1
HD000092,2026-06-25 13:36:57.870925,2026-06-25 19:37:33.779333,Achats,Matériel,PC,Faible,TECH_10,Portail,6.01,Respecté,4,Thursday,13,6,1
HD000093,2025-09-13 12:25:14.290848,2025-09-13 16:45:07.711791,Juridique,Matériel,Écran,Faible,TECH_03,Téléphone,4.33,Respecté,4,Saturday,12,9,1
HD000094,2025-04-02 04:46:22.775383,2025-04-02 09:32:18.410648,Finance,Active Directory,Compte verrouillé,Faible,TECH_09,Portail,4.77,Respecté,4,Wednesday,4,4,1
HD000095,2025-07-03 08:22:09.148123,2025-07-03 14:07:25.681234,Direction,Messagerie,Exchange,Moyenne,TECH_02,Email,5.75,Respecté,5,Thursday,8,7,1
HD000096,2025-01-04 06:11:52.092404,2025-01-04 10:36:03.433016,Production,Sécurité,Phishing,Moyenne,TECH_05,Email,4.4,Respecté,4,Saturday,6,1,1
HD000097,2025-04-07 20:43:21.292028,2025-04-08 07:32:08.236726,RH,Sécurité,Phishing,Faible,TECH_05,Portail,10.81,Dépassé,4,Monday,20,4,0
HD000098,2026-05-08 01:40:32.534409,2026-05-08 02:10:32.534409,Finance,Sécurité,Phishing,Faible,TECH_06,Portail,0.5,Respecté,4,Friday,1,5,1
HD000099,2025-01-31 07:39:25.693593,2025-01-31 09:40:56.385304,Finance,Sécurité,Antivirus,Faible,TECH_02,Portail,2.03,Respecté,4,Friday,7,1,1
HD000100,2025-10-20 13:38:00.094095,2025-10-20 17:45:11.773790,RH,Logiciel,ERP,Moyenne,TECH_08,Téléphone,4.12,Respecté,4,Monday,13,10,1
HD000101,2025-06-03 00:12:14.313350,2025-06-03 12:29:47.473591,Finance,Sécurité,Antivirus,Faible,TECH_10,Téléphone,12.29,Dépassé,4,Tuesday,0,6,0
HD000102,2025-06-17 13:35:45.455089,2025-06-17 15:36:52.023945,Juridique,Active Directory,Compte verrouillé,Haute,TECH_10,Portail,2.02,Respecté,5,Tuesday,13,6,1
HD000103,2025-02-12 02:24:07.830493,2025-02-12 06:59:50.136307,RH,Matériel,Imprimante,Faible,TECH_07,Email,4.6,Respecté,4,Wednesday,2,2,1
HD000104,2025-10-18 07:33:26.834058,2025-10-18 12:47:04.158943,IT,Matériel,Imprimante,Moyenne,TECH_09,Portail,5.23,Respecté,4,Saturday,7,10,1
HD000105,2025-01-22 14:32:32.346053,2025-01-22 21:04:54.421093,RH,Réseau,DNS,Faible,TECH_06,Téléphone,6.54,Respecté,5,Wednesday,14,1,1
HD000106,2026-06-05 17:48:03.217052,2026-06-05 22:29:50.364367,Direction,Matériel,Imprimante,Moyenne,TECH_05,Email,4.7,Respecté,4,Friday,17,6,1
HD000107,2025-12-31 18:48:26.753036,2026-01-01 02:03:22.584387,RH,Matériel,Écran,Critique,TECH_08,Portail,7.25,Respecté,4,Wednesday,18,12,1
HD000108,2025-11-16 09:06:07.368594,2025-11-16 18:09:18.802969,RH,Sécurité,Antivirus,Faible,TECH_06,Portail,9.05,Dépassé,4,Sunday,9,11,0
HD000109,2025-01-02 06:49:13.139301,2025-01-02 19:37:42.099052,RH,Réseau,DNS,Faible,TECH_08,Email,12.81,Dépassé,3,Thursday,6,1,0
HD000110,2025-05-31 07:28:27.998159,2025-05-31 14:06:00.605414,IT,Matériel,Imprimante,Haute,TECH_05,Portail,6.63,Respecté,4,Saturday,7,5,1
HD000111,2025-04-19 08:30:47.938645,2025-04-19 14:37:00.445120,Juridique,Logiciel,Office,Faible,TECH_05,Portail,6.1,Respecté,3,Saturday,8,4,1
HD000112,2025-02-03 11:29:38.250741,2025-02-03 16:27:07.759264,RH,Logiciel,ERP,Haute,TECH_01,Portail,4.96,Respecté,4,Monday,11,2,1
HD000113,2025-11-19 00:23:21.585316,2025-11-19 04:03:03.325673,Finance,Messagerie,Exchange,Faible,TECH_02,Portail,3.66,Respecté,5,Wednesday,0,11,1
HD000114,2025-03-21 01:01:05.050924,2025-03-21 09:08:50.441597,IT,Réseau,VPN,Haute,TECH_01,Téléphone,8.13,Dépassé,4,Friday,1,3,0
HD000115,2025-08-19 14:02:25.271902,2025-08-19 21:24:31.290822,Production,Réseau,WiFi,Moyenne,TECH_06,Téléphone,7.37,Respecté,4,Tuesday,14,8,1
HD000116,2026-02-15 00:37:44.094448,2026-02-15 08:14:23.541859,Juridique,Logiciel,Office,Haute,TECH_05,Téléphone,7.61,Respecté,3,Sunday,0,2,1
HD000117,2026-06-17 21:50:09.419144,2026-06-18 02:21:27.000599,Juridique,Logiciel,Office,Faible,TECH_10,Email,4.52,Respecté,5,Wednesday,21,6,1
HD000118,2025-01-25 06:09:57.824623,2025-01-25 11:48:51.822360,Juridique,Logiciel,Office,Faible,TECH_09,Email,5.65,Respecté,4,Saturday,6,1,1
HD000119,2025-04-19 21:28:48.680824,2025-04-20 13:21:52.317436,Production,Logiciel,Office,Critique,TECH_06,Portail,15.88,Dépassé,2,Saturday,21,4,0
HD000120,2026-04-06 03:56:31.726171,2026-04-06 08:55:05.075877,RH,Réseau,Switch,Faible,TECH_04,Email,4.98,Respecté,3,Monday,3,4,1
HD000121,2025-10-09 06:03:43.235472,2025-10-09 21:54:55.445403,Direction,Sécurité,Phishing,Moyenne,TECH_04,Téléphone,15.85,Dépassé,2,Thursday,6,10,0
HD000122,2025-10-30 22:43:16.594584,2025-10-31 07:40:20.241055,RH,Réseau,Switch,Moyenne,TECH_09,Email,8.95,Dépassé,3,Thursday,22,10,0
HD000123,2025-06-27 11:16:40.192148,2025-06-27 12:05:52.064357,Achats,Matériel,Imprimante,Faible,TECH_05,Téléphone,0.82,Respecté,5,Friday,11,6,1
HD000124,2025-05-01 10:07:25.016596,2025-05-01 13:28:21.436779,Direction,Messagerie,Outlook,Haute,TECH_03,Portail,3.35,Respecté,4,Thursday,10,5,1
HD000125,2025-12-06 05:03:06.184595,2025-12-06 11:16:45.842253,Direction,Matériel,PC,Faible,TECH_01,Email,6.23,Respecté,4,Saturday,5,12,1
HD000126,2025-11-14 04:22:15.612509,2025-11-14 09:51:39.371820,Production,Messagerie,Exchange,Faible,TECH_05,Email,5.49,Respecté,4,Friday,4,11,1
HD000127,2025-06-08 12:29:19.986590,2025-06-08 18:36:25.572848,Achats,Messagerie,Exchange,Faible,TECH_02,Email,6.12,Respecté,4,Sunday,12,6,1
HD000128,2025-12-09 09:02:56.499499,2025-12-09 11:09:10.292240,Achats,Logiciel,Office,Faible,TECH_07,Téléphone,2.1,Respecté,4,Tuesday,9,12,1
HD000129,2025-01-23 10:01:49.026900,2025-01-23 16:22:24.151716,Production,Réseau,WiFi,Haute,TECH_09,Email,6.34,Respecté,4,Thursday,10,1,1
HD000130,2026-04-04 13:48:34.562472,2026-04-04 19:25:53.096944,Production,Messagerie,Exchange,Faible,TECH_08,Portail,5.62,Respecté,5,Saturday,13,4,1
HD000131,2025-04-29 23:46:27.839810,2025-04-30 04:10:11.105267,Finance,Matériel,Imprimante,Faible,TECH_09,Téléphone,4.4,Respecté,4,Tuesday,23,4,1
HD000132,2026-01-12 04:43:53.042765,2026-01-12 08:03:14.829582,Juridique,Active Directory,Compte verrouillé,Moyenne,TECH_06,Téléphone,3.32,Respecté,4,Monday,4,1,1
HD000133,2026-06-27 17:18:12.782152,2026-06-27 23:17:20.124835,Direction,Matériel,Imprimante,Moyenne,TECH_03,Email,5.99,Respecté,4,Saturday,17,6,1
HD000134,2025-04-27 01:00:58.719008,2025-04-27 16:28:01.310858,Production,Sécurité,Antivirus,Faible,TECH_06,Portail,15.45,Dépassé,2,Sunday,1,4,0
HD000135,2026-03-20 12:25:31.893286,2026-03-20 17:33:53.392470,Finance,Messagerie,Exchange,Faible,TECH_10,Portail,5.14,Respecté,4,Friday,12,3,1
HD000136,2025-08-14 05:41:21.307080,2025-08-14 11:15:54.248198,Direction,Active Directory,Mot de passe,Critique,TECH_05,Portail,5.58,Respecté,3,Thursday,5,8,1
HD000137,2025-01-02 22:58:20.359183,2025-01-03 16:09:54.225599,Direction,Logiciel,ERP,Critique,TECH_05,Email,17.19,Dépassé,2,Thursday,22,1,0
HD000138,2025-07-12 20:12:18.797583,2025-07-13 05:30:41.711277,Direction,Logiciel,SAP,Moyenne,TECH_09,Email,9.31,Dépassé,3,Saturday,20,7,0
HD000139,2026-06-08 02:49:14.981862,2026-06-08 05:42:35.626893,Finance,Active Directory,Compte verrouillé,Moyenne,TECH_10,Portail,2.89,Respecté,5,Monday,2,6,1
HD000140,2025-03-05 10:32:48.968747,2025-03-05 18:20:53.975587,IT,Sécurité,Antivirus,Moyenne,TECH_01,Téléphone,7.8,Respecté,3,Wednesday,10,3,1
HD000141,2026-03-28 10:39:42.135733,2026-03-28 23:47:31.581550,Juridique,Réseau,Switch,Moyenne,TECH_09,Téléphone,13.13,Dépassé,1,Saturday,10,3,0
HD000142,2025-11-19 11:36:09.158052,2025-11-20 01:18:40.765615,Direction,Sécurité,Phishing,Faible,TECH_04,Téléphone,13.71,Dépassé,3,Wednesday,11,11,0
HD000143,2026-05-24 03:21:37.067825,2026-05-24 09:30:10.769899,Direction,Logiciel,Office,Faible,TECH_07,Email,6.14,Respecté,4,Sunday,3,5,1
HD000144,2025-03-12 10:45:17.755337,2025-03-12 13:06:52.076246,Finance,Matériel,Écran,Faible,TECH_04,Téléphone,2.36,Respecté,5,Wednesday,10,3,1
HD000145,2025-04-12 05:53:18.776249,2025-04-12 10:44:28.776215,IT,Matériel,Imprimante,Haute,TECH_09,Portail,4.85,Respecté,4,Saturday,5,4,1
HD000146,2026-02-09 19:20:15.035521,2026-02-09 20:54:40.466911,Juridique,Messagerie,Exchange,Haute,TECH_02,Téléphone,1.57,Respecté,5,Monday,19,2,1
HD000147,2025-04-22 10:54:21.454292,2025-04-22 20:53:53.685938,RH,Messagerie,Outlook,Critique,TECH_10,Portail,9.99,Dépassé,3,Tuesday,10,4,0
HD000148,2026-04-01 05:43:38.222680,2026-04-01 07:07:58.283108,IT,Active Directory,Compte verrouillé,Moyenne,TECH_07,Portail,1.41,Respecté,4,Wednesday,5,4,1
HD000149,2025-03-27 18:46:30.575607,2025-03-28 00:17:38.178631,Direction,Logiciel,ERP,Faible,TECH_08,Portail,5.52,Respecté,4,Thursday,18,3,1
HD000150,2025-03-12 09:51:46.275118,2025-03-12 15:16:20.254292,Juridique,Active Directory,Compte verrouillé,Critique,TECH_08,Téléphone,5.41,Respecté,4,Wednesday,9,3,1
HD000151,2026-07-02 07:46:05.192274,2026-07-02 12:08:31.421574,IT,Messagerie,Exchange,Moyenne,TECH_03,Email,4.37,Respecté,3,Thursday,7,7,1
HD000152,2025-10-24 05:54:58.748110,2025-10-24 15:23:51.005206,Production,Réseau,DNS,Faible,TECH_10,Portail,9.48,Dépassé,3,Friday,5,10,0
HD000153,2026-04-20 17:43:16.226842,2026-04-21 00:50:31.443903,Achats,Matériel,Imprimante,Faible,TECH_03,Email,7.12,Respecté,4,Monday,17,4,1
HD000154,2025-06-29 22:21:59.374444,2025-06-30 12:01:41.026659,Achats,Sécurité,Phishing,Faible,TECH_04,Téléphone,13.66,Dépassé,2,Sunday,22,6,0
HD000155,2025-02-17 10:53:40.925729,2025-02-17 16:07:27.928300,RH,Logiciel,Office,Moyenne,TECH_01,Portail,5.23,Respecté,5,Monday,10,2,1
